,indegree_i,outdegree_i,indegree_j,outdegree_j,common_neighbors,shortest_path,adamic_adar,pref_attach,jaccard,label
"(2032, 29064)",0,4,1,0,1,2,1.4426950408889634,4,0.25,0
"(284, 7686)",0,1,1,0,1,2,1.4426950408889634,1,1.0,0
"(1441, 22862)",0,2,1,0,1,2,1.4426950408889634,2,0.5,0
"(3658, 9174)",0,11,1,0,1,2,1.4426950408889634,11,0.09090909090909091,0
"(26392, 33683)",0,1,1,0,1,2,1.4426950408889634,1,1.0,0
"(1373, 9564)",0,1,1,0,1,2,0.9102392266268373,1,1.0,0
"(1373, 43310)",0,1,1,0,1,2,0.9102392266268373,1,1.0,0
"(24494, 38517)",0,1,1,0,1,2,1.4426950408889634,1,1.0,0
"(63179, 37312)",0,1,1,0,1,2,0.5581106265512472,1,1.0,0
"(63179, 60097)",0,1,1,0,1,2,0.5581106265512472,1,1.0,0
"(63179, 3008)",0,1,1,0,1,2,0.5581106265512472,1,1.0,0
"(63179, 48179)",0,1,1,0,1,2,0.5581106265512472,1,1.0,0
"(63179, 18200)",0,1,1,0,1,2,0.5581106265512472,1,1.0,0
